,headline,current_price,clean_fee,service_fee,occupancy_fee,guest,bedroom,beds,baths,enhanced_clean,self_checkin,rating,review_number,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,cancel_policy,cancel_policy_code,location_approx,location_code,type,type_code,amenity_number,free_P_on_property,private_entrance,pets,kitchen,security_camera,co_alarm,scenic_number,host_join_year,host_review,identity_veified,superhost,response_rate,response_time,res_time_code,additional_language
10799,100 Year-Old Historic Brick 2BR Loft ★ Fast Wifi & Apple TV ★ High Ceiling,190,76,64,70,6,2,3,2,1,1,4.78,203,4.7,4.9,4.9,5,4.8,4.8,48 hours after booking,1,Durham,13,entire home,1,43,0,1,0,1,1,1,0,2017,4486,1,0,100,within an hour,1,0
10800,Lakewood/Lyon Park Renovated Cottage Near Duke 28A,75,65,30,33,2,1,1,1,1,1,4.5,14,4.9,4.9,4.9,4,4.8,4.7,48 hours after booking,1,Durham,13,entire home,1,22,1,1,0,1,1,1,0,2013,741,1,0,100,within an hour,1,1
10801,★Bull City Views II★Downtown★ Warehouse★ District,225,150,85,92,6,2,2,2,1,1,5,10,5,5,5,5,4.9,5,48 hours after booking,1,Durham,13,entire home,1,59,1,1,0,1,0,1,0,2020,152,1,1,100,within an hour,1,0
10802,Renovated Cottage Minutes From Downtown,74,55,29,31,2,1,1,1,0,1,4.63,35,4.8,4.8,4.8,4.3,4.8,4.7,no free cancel,0,Durham,13,entire home,1,35,1,1,0,1,1,1,0,2013,741,1,0,100,within an hour,1,1
10803,"Bull City Cabin Escape -Min to Duke, UNC&Downtown",161,0,45,50,3,1,1,1,1,0,4.88,26,4.8,4.9,5,4.9,5,4.8,5 days before check in,4,Durham,13,entire home,1,44,1,1,1,1,0,1,0,2013,44,1,1,100,within a few hours,2,0
10804,1940’s Cottage in Historic Downtown Durham,165,60,55,60,5,2,2,1,1,1,4.91,91,4.9,5,5,4.9,4.9,4.8,30 days before check in,2,Durham,13,entire home,1,42,1,1,1,1,0,1,1,2014,111,1,1,90,within an hour,1,0
10805,Viagem | Durham | Home 1BR with Pool & Gym,118,95,0,45,3,1,1,1,0,1,4.33,42,4.4,4.5,4.6,4.6,3.9,4.1,no free cancel,0,Durham,13,entire home,1,34,1,0,0,1,0,1,0,2020,2114,1,0,100,within an hour,1,0
10806,Renovated 3 bedroom close to downtown!,90,65,35,38,6,3,3,2,0,1,4.41,119,4.6,4.5,4.7,4.2,4.7,4.5,no free cancel,0,Durham,13,entire home,1,35,0,1,0,1,1,1,0,2013,741,1,0,100,within an hour,1,1
10807,Viagem Durham Stylish 2BR with Parking,100,95,0,40,4,2,2,2,0,1,4.53,15,4.4,4.7,4.9,4.9,4.9,4.5,no free cancel,0,Durham,13,entire home,1,34,1,0,0,1,0,1,0,2020,2114,1,0,100,within an hour,1,0
10808,♥Tiny House - downtown Durham walk to nightlife ♥,89,30,29,32,2,1,2,1,1,1,4.93,263,5,5,5,4.9,5,4.8,30 days before check in,2,Durham,13,entire home,1,24,1,0,0,1,0,1,0,2016,266,1,1,92,within an hour,1,2
