,headline,current_price,clean_fee,service_fee,occupancy_fee,guest,bedroom,beds,baths,enhanced_clean,self_checkin,rating,review_number,rating_cleanliness,rating_accuracy,rating_communication,rating_location,rating_check_in,rating_value,cancel_policy,cancel_policy_code,location_approx,location_code,type,type_code,amenity_number,free_P_on_property,private_entrance,pets,kitchen,security_camera,co_alarm,scenic_number,host_join_year,host_review,identity_veified,superhost,response_rate,response_time,res_time_code,additional_language
2741,✨STUNNING LUXURY KING SUITE 1BR - GREAT LOCATION✨,92,90,39,56,4,1,1,1,1,0,4.85,13,5,5,5,4.9,4.7,5,48 hours after booking,1,Atlanta,0,entire home,1,45,1,0,0,1,0,1,0,2021,13,1,0,100,within an hour,1,0
2742,Modern Beltline Hideaway - Carriage House,119,65,43,61,2,1,1,1,1,1,4.86,37,4.9,5,5,5,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,28,1,1,0,0,1,1,0,2021,0,1,0,99,,1,1
2743,The Paris of Edgewood,76,35,26,41,2,1,1,1,1,1,4.98,204,5,5,5,5,5,4.9,5 days before check in,4,Atlanta,0,entire home,1,31,1,1,0,1,1,1,0,2015,204,1,1,90,within an hour,1,0
2744,Night light Special,101,75,39,57,2,1,1,1,1,1,4.7,82,4.8,4.7,4.8,4.7,4.7,4.8,48 hours after booking,1,Atlanta,0,entire home,1,57,1,0,0,1,0,1,1,2018,121,1,0,100,within an hour,1,0
2745,Vibrant Bungalow with Back BBQ Deck,114,55,40,58,4,1,2,1,1,0,4.86,99,4.9,4.9,4.9,4.9,4.9,4.8,5 days before check in,4,Atlanta,0,entire home,1,22,1,0,0,1,1,1,0,2018,203,1,1,100,within an hour,1,0
2746,"Midtown Historic Designer Apartment, Walker",165,59.17,53.33,51,4,2,2,2,1,0,4.9,208,4.9,4.9,4.9,4.9,4.9,4.8,1 day before check in,5,Atlanta,0,entire home,1,24,1,0,1,1,1,1,0,2013,261,1,1,99,,1,0
2747,Spectacular view over the city of downtown!,99,65,37,54,3,1,1,1,1,1,4.69,117,4.7,4.8,4.8,4.8,4.6,4.7,48 hours after booking,1,Atlanta,0,entire home,1,35,0,0,0,1,0,1,0,2018,276,1,0,100,within an hour,1,1
2748,Balance Air BnB,77,50,29,44,2,1,1,1,1,1,4.97,95,4.8,5,5,5,5,4.9,5 days before check in,4,Atlanta,0,entire home,1,27,1,1,0,1,0,1,0,2013,95,1,1,100,within an hour,1,0
2749,1/1 w/ optional 2/2 upgrade & free garage parking!,125,73,45,64,4,1,2,1,1,1,4.92,110,4.8,5,5,5,4.8,4.9,1 day before check in,5,Atlanta,0,entire home,1,42,1,0,1,1,1,1,1,2019,110,1,1,100,within a day,3,0
2750,#10 Piedmont Park- dynamite location,90,50,32,49,2,1,1,1,1,1,4.93,270,4.9,5,5,5,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,34,1,0,0,1,0,1,0,2014,1272,1,1,100,within an hour,1,0
2751,Sunny Shotgun w/ Yard | Close to Everything!,127,60,44,63,4,2,2,1,1,1,4.94,35,5,5,5,5,4.9,5,5 days before check in,4,Atlanta,0,entire home,1,42,1,1,1,1,0,1,0,2013,35,1,1,100,within a few hours,2,0
2752,A Relaxing Midtown Escape,115,25,36,53,2,1,1,1,1,1,4.96,135,4.9,5,5,5,5,4.9,5 days before check in,4,Atlanta,0,entire home,1,31,0,1,0,1,1,1,0,2017,342,1,1,100,within an hour,1,0
2753,"Relaxing, Elegant,Peaceful and Clean (Rental Car)✨",105,77.42,60.67,57.5,4,1,1,1,1,1,4.74,27,4.7,4.9,5,4.7,4.7,4.9,48 hours after booking,1,Atlanta,0,entire home,1,34,1,1,0,1,0,0,0,2020,47,1,0,93,within an hour,1,0
2754,Best Area in Midtown! Free Park..Ponce City Market,102,80,40,58,4,1,2,1,1,1,4.71,45,4.8,4.9,4.9,4.9,4.8,4.7,48 hours after booking,1,Atlanta,0,entire home,1,39,1,1,1,1,1,1,0,2018,761,1,1,100,within an hour,1,0
2755,Secluded City Suite,104,25,33,49,2,1,1,1,1,0,5,254,5,5,5,5,5,5,5 days before check in,4,Atlanta,0,entire home,1,31,1,1,0,0,1,1,0,2014,254,1,1,100,within an hour,1,0
2756,Atlanta Home with a View,106,12,32,48,4,1,1,2,0,1,4.87,138,4.7,5,5,4.9,5,4.9,no free cancel,0,Atlanta,0,entire home,1,29,1,1,0,1,0,0,1,2015,138,0,1,100,within an hour,1,0
2757,Steps to Piedmont Park - Cozy Ansley Park Cottage,111,55,39,57,2,1,1,1,1,1,5,227,5,5,5,5,5,5,5 days before check in,4,Atlanta,0,entire home,1,45,1,1,0,1,1,1,1,2015,227,1,1,100,within an hour,1,0
2758,😍GORGEOUS Midtown Getaway..PARK 🚘FREE!,104,80,41,59,4,1,2,1,1,1,4.84,161,4.8,4.9,5,5,5,4.8,48 hours after booking,1,Atlanta,0,entire home,1,33,1,1,1,1,1,1,0,2018,761,1,1,100,within an hour,1,0
2759,"Calm, Cozy & Bright Piedmont Park Retreat- Private Entrance",96,35,32,48,2,1,1,1,1,0,4.91,183,4.9,4.9,4.9,4.9,4.9,4.8,5 days before check in,4,Atlanta,0,room,2,17,1,0,0,1,1,1,0,2018,244,1,1,100,within an hour,1,0
2760,Lux Boho Chic Loft in the Heart of the City!,150,65,52,72,4,1,1,1,1,0,4.74,23,4.6,4.7,4.8,4.9,4.7,4.6,48 hours after booking,1,Atlanta,0,entire home,1,31,1,0,0,1,1,1,0,2021,29,1,1,100,within an hour,1,0
2761,The Cottage Suite in Inman Park,132,30,42,60,3,1,1,1,1,1,4.96,70,4.9,5,5,5,5,4.9,5 days before check in,4,Atlanta,0,entire home,1,31,1,1,0,1,0,1,0,2014,72,1,1,100,within an hour,1,0
2762,Beltline Modern Old Fourth Ward,315,69.08,30.33,46,4,2,2,2,1,0,4.85,49,4.8,4.9,4.9,4.9,4.9,4.8,no free cancel,0,Atlanta,0,entire home,1,21,1,1,0,1,1,1,2,2013,69,1,1,100,within an hour,1,1
2763,Private Oasis in Virginia Highland,110,65,40,58,2,1,1,1,1,0,5,88,5,5,5,5,5,4.9,1 day before check in,5,Atlanta,0,entire home,1,43,1,1,0,1,1,1,0,2018,88,1,1,100,within an hour,1,0
2764,"Lofted, light-filled boutique studio on Beltline",108,70,40,58,2,1,1,1,1,1,5,24,5,5,5,5,4.9,4.8,48 hours after booking,1,Atlanta,0,entire home,1,55,1,1,0,1,1,1,1,2016,180,1,1,100,within an hour,1,0
2765,⭑ THE BLUE VELVET RETREAT⭑ (NEW LISTING!!!!!!),119,125,51,71,4,1,2,1,1,0,5,6,5,5,5,5,5,5,5 days before check in,4,Atlanta,0,entire home,1,45,0,0,0,1,0,1,1,2021,6,1,0,100,within an hour,1,0
2766,HEART OF THE ARTS - PRIME MIDTOWN LOCATION,99,60,36,54,3,1,1,1,1,1,4.88,137,4.9,5,5,4.9,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,57,1,1,1,1,1,1,1,2020,137,1,1,100,within an hour,1,0
2767,Modern 1 bedroom in the heart of Atlanta!,95,37.42,32.67,46.38,2,1,1,1,1,0,5,9,5,5,5,5,4.9,4.9,5 days before check in,4,Atlanta,0,entire home,1,16,0,0,0,1,1,1,1,2021,9,1,0,100,within an hour,1,0
2768,The Cozy 1- Bedroom in Atlanta + FREE PARKING WIFI,94,70,36,53,4,1,1,1,1,1,5,3,5,5,5,5,3.7,5,30 days before check in,2,Atlanta,0,entire home,1,43,1,0,0,1,1,1,1,2018,3,1,0,100,within an hour,1,0
2769,Beautiful Buckhead/Midtown living,82,70,33,50,4,1,2,1,1,1,4.86,79,4.8,4.9,4.9,5,4.9,4.9,48 hours after booking,1,Atlanta,0,entire home,1,39,1,1,0,1,0,1,0,2020,79,1,1,100,within an hour,1,0
2770,Stylish Downtown Modern Loft w/ Free Parking,115,70,42,61,3,1,1,1,1,0,4.91,55,5,4.9,4.8,4.7,5,4.8,1 day before check in,5,Atlanta,0,entire home,1,13,1,0,0,1,0,0,0,2020,145,1,1,100,within an hour,1,0
2771,New One Bed apartment Downtown Atlanta Mercedes,103,60,37,55,3,1,1,1,0,1,4.67,30,4.6,4.9,4.9,4.8,4.8,4.6,no free cancel,0,Atlanta,0,entire home,1,48,1,1,0,1,1,1,1,2020,30,1,0,100,within an hour,1,0
2772,Historic Cabbagetown Suite on Carroll Street,125,40,41,59,2,1,1,1,1,1,4.84,327,4.8,4.9,4.8,4.9,4.9,4.8,5 days before check in,4,Atlanta,0,entire home,1,29,0,1,0,0,0,1,0,2017,553,1,1,88,within an hour,1,0
2773,✦Luxury Opulence Loft✦ NEW LISTING!,99,85,40,58,4,1,2,1,1,0,4.57,21,4.7,4.4,4.6,4.5,4.5,4.6,1 day before check in,5,Atlanta,0,entire home,1,18,1,0,0,1,0,1,0,2021,21,0,0,100,within an hour,1,0
2774,Stylish Midtown stay,95,35,32,48,4,1,1,1,0,0,3.75,4,4,3.8,4,4.8,4,3.5,no free cancel,0,Atlanta,0,entire home,1,26,1,1,0,1,0,1,0,2017,12,1,0,100,within an hour,1,0
2775,Walk to All the Sights from This Hip Historic Loft,164,81.25,35,57.75,2,1,1,1,1,0,4.9,123,4.9,4.9,4.9,4.9,4.9,4.8,48 hours after booking,1,Atlanta,0,entire home,1,21,1,0,0,1,1,1,0,2014,205,1,1,100,within an hour,1,0
2776,Cute and Cozy One Bedroom in the Heart of Midtown,68,43.33,25.67,39.75,2,1,1,1,1,1,4.78,10,4.8,4.9,4.9,4.9,4.9,4.8,5 days before check in,4,Atlanta,0,entire home,1,9,1,0,0,1,0,0,0,2015,0,1,0,100,within a day,3,0
2777,The VIVID GETAWAY experience in Midtown Atlanta,99,90,41,59,2,1,1,1,1,0,4.84,89,4.9,4.9,4.9,4.8,4.7,4.8,5 days before check in,4,Atlanta,0,entire home,1,38,1,1,0,1,0,1,0,2019,92,0,1,100,within an hour,1,0
2778,Auburn Gardens Deluxe Spa 1B/B Pool View,119,60,42,60,2,1,1,1,1,1,5,24,5,4.9,5,4.8,4.9,4.9,5 days before check in,4,Atlanta,0,entire home,1,51,1,1,0,1,1,1,2,2018,267,1,1,100,within an hour,1,0
2779,"Freshly Renovated, Historic Atlanta Home",107,0,30,46,2,1,1,1,1,1,5,96,5,5,5,4.9,5,5,5 days before check in,4,Atlanta,0,entire home,1,41,1,1,0,1,1,1,0,2019,0,1,0,99,,1,0
2780,Astonishing Cityview Condo,104,85,41,60,2,1,1,1,1,0,4.87,15,4.8,4.9,4.9,4.9,4.9,4.9,48 hours after booking,1,Atlanta,0,entire home,1,50,1,1,0,1,0,1,3,2020,52,1,1,100,within an hour,1,0
2781,Astonishing Cityview Condo,104,85,41,60,2,1,1,1,1,0,4.87,15,4.8,4.9,4.9,4.9,4.9,4.9,48 hours after booking,1,Atlanta,0,entire home,1,50,1,1,0,1,0,1,3,2020,52,1,1,100,within an hour,1,0
2782,✧ Modern Midtown Oasis ✧,140,85,52,72,3,1,1,1,1,1,4.95,58,4.9,5,5,4.9,4.9,5,48 hours after booking,1,Atlanta,0,entire home,1,51,0,0,0,1,1,1,0,2020,86,1,1,100,within an hour,1,0
2783,Lovely 1- bedroom across from Shops of Buckhead,66,55,26,42,3,1,1,1,0,0,4.69,16,4.2,4.5,4.5,4.8,4.5,4.3,no free cancel,0,Atlanta,0,entire home,1,18,1,0,0,1,0,1,0,2016,16,1,0,100,within an hour,1,0
2784,Peaceful Purple Retreat Suite,81,85,35,52,4,1,1,1,1,1,4.9,158,4.9,4.9,4.9,4.9,4.9,4.8,48 hours after booking,1,Atlanta,0,entire home,1,71,1,1,1,1,1,1,2,2019,314,1,1,100,within an hour,1,1
2785,Illustrious Buckhead Apt w/King Bed-5Min frm Lenox,83,145,44,63,4,1,1,1,1,1,4.98,48,4.9,5,5,5,4.8,5,48 hours after booking,1,Atlanta,0,entire home,1,39,1,0,0,1,1,1,0,2021,48,1,1,100,within a few hours,2,0
2786,Prime Midtown Location - 4 Blocks from Piedmont Pk,132,50,44,63,2,1,1,1,1,1,4.98,297,5,5,5,5,5,4.9,5 days before check in,4,Atlanta,0,entire home,1,47,0,1,1,1,0,1,0,2010,297,1,1,100,within an hour,1,0
2787,Cozy & Charm. Within 1 mile of the city. O4W gem!,175,125,67,90,8,3,3,3,0,1,4.84,126,4.8,4.9,4.9,5,4.9,4.9,no free cancel,0,Atlanta,0,entire home,1,43,1,0,1,1,0,0,0,2017,126,1,1,100,within an hour,1,0
2788,Modern Opulence | City View w/ Rooftop Pool,175,100,64,86,3,1,2,1,1,0,5,25,5,5,5,4.9,5,5,48 hours after booking,1,Atlanta,0,entire home,1,67,0,0,0,1,0,1,5,2021,34,1,1,100,within an hour,1,0
2789,Modernized Loft in Historic Reynoldstown,151,60,51,71,4,1,2,1,1,1,4.96,26,4.9,4.9,5,4.9,5,4.8,1 day before check in,5,Atlanta,0,entire home,1,24,1,1,1,1,0,1,0,2016,27,1,1,100,within an hour,1,0
2790,Yummy Yellow Retreat Suite,109,80,42,60,4,1,1,1,1,1,4.86,51,4.8,4.9,5,5,4.8,4.9,48 hours after booking,1,Atlanta,0,entire home,1,67,0,1,1,1,1,1,1,2019,314,1,1,100,within an hour,1,1
2791,Veracious Gleaming High Rise Central Piedmont Park,217,80,72,97,5,2,2,2,1,1,4.23,35,4.5,4.3,4,4.9,3.8,4.4,5 days before check in,4,Atlanta,0,entire home,1,38,1,1,0,1,1,1,0,2017,906,1,0,100,within an hour,1,0
2792,"CHIC MODERN MIDTOWN PAD,PIEDMONT PARK,Free Parking",112,80,43,61,4,1,1,1,1,1,4.83,80,4.8,4.9,4.9,5,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,34,1,1,1,1,1,1,0,2018,761,1,1,100,within an hour,1,0
2793,"King Bed, Free Parking + large balcony in Midtown.",128,85,48,67,4,1,1,1,1,0,5,20,5,5,5,4.9,5,5,1 day before check in,5,Atlanta,0,entire home,1,63,1,0,0,1,0,1,3,2021,20,1,0,100,within an hour,1,0
2794,The Green Apartment in Midtown East Near Ponce City Market,128,45,42,61,2,1,1,1,1,0,4.85,271,4.9,4.9,4.9,4.9,4.9,4.8,5 days before check in,4,Atlanta,0,entire home,1,19,1,0,0,1,1,1,0,2014,408,1,1,100,within an hour,1,0
2795,Non-Smoking Modern Apartment -VA-Highland/Midtown,71,50,27,42,2,1,1,1,1,1,4.95,331,5,5,4.9,5,5,4.9,5 days before check in,4,Atlanta,0,entire home,1,22,0,1,0,0,0,1,0,2015,331,1,1,100,within an hour,1,0
2796,Renovated Bungalow Loft Apartment Poncey Highlands,102,60,37,55,2,1,1,1,1,1,4.95,188,5,5,5,5,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,51,1,1,0,1,0,1,0,2017,188,1,1,100,within an hour,1,1
2797,Beautiful Unit on 10th Floor of Peachtree Towers,90,58.75,49.67,33.38,2,1,1,1,1,1,4.79,153,4.9,4.9,4.8,4.8,4.9,4.8,no free cancel,0,Atlanta,0,entire home,1,37,0,1,0,1,1,1,0,2017,153,1,0,100,within an hour,1,0
2798,1 Bedroom Home - Atlanta’s Hippest Area,70,30,24,39,3,1,1,1,1,1,4.46,652,4.2,4.7,4.8,4.8,4.9,4.6,5 days before check in,4,Atlanta,0,entire home,1,37,1,0,1,1,0,0,0,2012,679,1,0,100,within an hour,1,0
2799,Downtown ATL Highland House Private Guest Suite,88,39,30,46,4,1,2,1,1,1,4.95,132,5,5,5,5,5,5,30 days before check in,2,Atlanta,0,entire home,1,29,1,1,0,0,1,1,0,2017,132,1,1,100,within an hour,1,0
2800,** Beautiful 1 BR Condo Downtown $75 on Weekdays**,129,30,41,59,2,1,1,1,1,1,4.93,14,4.9,4.9,5,4.7,4.8,4.9,48 hours after booking,1,Atlanta,0,entire home,1,24,1,0,0,1,1,0,0,2018,74,1,1,100,within an hour,1,0
2801,Zen House in Heart of DowntownATL (Max. 5 Guests),190,100,68,91,5,2,3,2,1,1,4.97,34,5,4.9,5,4.8,5,4.8,30 days before check in,2,Atlanta,0,entire home,1,57,1,1,0,1,1,1,0,2016,121,1,1,100,within an hour,1,2
2802,♡PRETTY & PIINK♡ Photo Ready Space Close to Dwntwn,157,150,66,88,3,1,1,1,1,1,4.95,20,5,5,5,4.7,4.8,4.8,48 hours after booking,1,Atlanta,0,entire home,1,63,1,1,0,1,1,1,1,2015,36,1,1,100,within an hour,1,0
2803,Luxury Studio Apt on the Beltline!,105,35,35,51,2,1,1,1,1,0,4.88,78,4.9,4.9,4.9,4.9,4.9,4.8,1 day before check in,5,Atlanta,0,entire home,1,45,0,1,0,1,0,1,0,2019,0,0,0,100,within an hour,1,0
2804,Room #9 THIS IS A SHARE HOUSE/BATHROOM Cozy Room,50,0,14,27,2,1,1,2,1,1,4.89,233,4.9,4.9,5,4.9,4.9,4.9,1 day before check in,5,Atlanta,0,room,2,28,1,0,0,1,0,1,0,2018,650,1,1,97,within an hour,1,0
2805,"Sweeping Midtown views in modern, high-rise condo",127,90,48,68,3,1,2,1,1,0,4.65,34,4.7,4.7,4.8,4.9,4.8,4.6,1 day before check in,5,Atlanta,0,entire home,1,52,0,0,1,1,0,1,2,2020,47,1,0,100,within an hour,1,0
2806,InstaWorthy Modern Tiny Home Getaway In The Trees,166,55,54,75,2,1,1,1,1,1,4.97,88,5,5,5,4.9,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,49,1,1,0,1,1,1,2,2018,298,1,1,100,within an hour,1,0
2807,Modern Midtown Condo- Business trip accesible,111,65,41,59,4,1,1,1,1,1,4.78,113,4.7,4.9,4.8,5,4.8,4.8,48 hours after booking,1,Atlanta,0,entire home,1,32,1,1,0,1,0,0,0,2016,0,1,0,100,within an hour,1,0
2808,Private Carriage House Guest Suite in Old 4th Ward,68,30,23,38,3,1,2,1,1,1,5,87,5,5,5,5,5,5,1 day before check in,5,Atlanta,0,room,2,42,1,1,1,0,1,1,0,2016,96,1,1,100,within an hour,1,2
2809,Midtown Cottage Nestled along the Park,112,70,41,60,2,1,1,1,1,1,4.56,122,4.5,4.6,4.8,5,4.8,4.5,1 day before check in,5,Atlanta,0,entire home,1,35,0,1,1,1,0,0,0,2016,246,1,0,100,within an hour,1,0
2810,dynamite location #15 piedmont park,88,50,32,48,2,1,1,1,1,1,4.94,254,4.9,5,5,5,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,33,1,1,0,1,0,1,0,2014,1272,1,1,100,within an hour,1,0
2811,Stylish Apt✨w/ Free Parking & Downton Skyline View,115,86.25,48.67,44.88,3,1,1,1,1,1,4.82,159,4.9,4.8,4.9,4.8,4.6,4.8,no free cancel,0,Atlanta,0,entire home,1,57,1,0,0,1,1,1,1,2012,1110,1,0,97,within an hour,1,0
2812,"Chic Grant Park 1 BR Apt, Min to ATL Airport",80,100,37,54,3,1,2,1,1,1,4.75,4,4.8,5,5,5,4.5,5,5 days before check in,4,Atlanta,0,entire home,1,41,0,1,0,1,0,1,0,2017,4,1,0,100,within an hour,1,0
2813,Welcome To Paradise ATL Hidden luxurious Gem! ✨,125,60,44,62,3,1,2,1,1,1,4.94,16,4.9,4.9,4.8,4.8,4.8,4.9,1 day before check in,5,Atlanta,0,entire home,1,28,1,1,0,1,0,1,0,2016,22,1,1,97,within an hour,1,0
2814,⭑⭑Cozy Downtown City Suite W/ Free Parking⭑⭑,108,70,40,58,4,1,1,1,1,0,4.67,9,4.6,4.8,5,5,4.9,4.9,1 day before check in,5,Atlanta,0,entire home,1,46,1,0,0,1,0,1,0,2021,9,1,0,100,within an hour,1,0
2815,Cozy Atlanta Condo in Historic Cabbagetown!,157,116,61,83,4,1,2,1,1,0,4.94,19,4.9,5,4.9,5,4.8,4.9,48 hours after booking,1,Atlanta,0,entire home,1,25,1,1,0,1,0,1,0,2017,9602,1,0,100,within an hour,1,2
2816,Your luxurious getaway!,129,0,36,54,5,1,3,1,1,1,4.93,28,5,4.9,5,4.9,5,5,48 hours after booking,1,Atlanta,0,entire home,1,61,1,0,0,1,1,1,0,2019,28,1,1,100,within an hour,1,0
2817,Across Piedmont Park in Midtown for up to 4 People,71,79.67,36.67,40,4,1,2,1,1,1,4.87,98,4.9,4.8,5,5,5,4.8,no free cancel,0,Atlanta,0,room,2,33,0,0,0,1,1,1,0,2016,539,1,1,100,within an hour,1,0
2818,Heart of Downtown Atlanta! Cute 1 bedroom apt!,78,47.25,33,41.38,4,1,2,1,1,0,4.88,17,4.9,4.9,5,5,4.9,4.9,no free cancel,0,Atlanta,0,entire home,1,28,0,0,0,1,0,0,0,2016,17,1,0,100,within an hour,1,0
2819,Beautiful Historic Spot / Midtown,84,55,31,48,2,1,1,1,0,1,4.68,65,4.7,4.8,4.9,4.9,4.9,4.7,no free cancel,0,Atlanta,0,entire home,1,26,0,1,1,1,0,1,0,2020,291,1,0,98,within an hour,1,0
2820,Unique modern Barn Apartment w/ Hot Tub & Fire Pit,100,65,37,52,3,1,1,1,1,0,4.81,260,4.9,4.9,4.9,4.9,4.9,4.8,30 days before check in,2,Atlanta,0,entire home,1,17,1,0,0,1,1,1,0,2014,1786,1,1,100,within an hour,1,0
2821,Auburn Gardens DELUXE SPA 2B/2B with city view!,201,95.42,80.33,63.5,6,2,2,2,1,1,4.89,243,4.9,4.9,4.9,4.8,4.9,4.8,5 days before check in,4,Atlanta,0,entire home,1,37,1,0,0,1,1,1,0,2018,267,1,1,100,within an hour,1,0
2822,✻✻ City Scape Oasis (Brand New Listing) ✻✻,90,99,39,57,2,1,1,1,1,1,4.78,32,4.9,5,4.8,5,4.9,4.8,5 days before check in,4,Atlanta,0,entire home,1,33,0,0,0,1,1,1,0,2015,46,1,1,100,within an hour,1,0
2823,UNIQUE granite wall GAME CAVE dynamite location 22,136,50,45,64,2,1,1,1,1,1,4.94,226,4.9,5,5,5,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,30,1,1,0,1,0,1,0,2014,1272,1,1,100,within an hour,1,0
2824,Midtown/Piedmont Park/Beltline/Ponce City Market,98,65.33,41.67,34.62,6,2,2,2,1,1,4.79,75,4.6,4.9,5,5,4.9,4.8,5 days before check in,4,Atlanta,0,entire home,1,40,1,1,0,1,0,1,0,2020,75,1,1,83,within a day,3,0
2825,Downtown loft Get away,107,25,34,50,3,1,2,1,0,0,4.66,93,4.6,4.7,4.9,4.6,4.8,4.6,no free cancel,0,Atlanta,0,entire home,1,20,1,0,1,1,0,1,0,2020,229,1,1,90,within an hour,1,0
2826,Treetop tent at Ramsden Lake,149,59.92,83.33,40.12,4,1,1,1,1,1,4.99,114,5,5,5,5,5,4.9,30 days before check in,2,Atlanta,0,entire home,1,51,1,1,0,1,1,1,1,2011,354,1,1,100,within an hour,1,0
2827,"Midtown Historic Designer Apartment, Zara",188,89,66,89,4,2,2,2,1,1,4.88,205,4.8,5,5,4.9,5,4.8,1 day before check in,5,Atlanta,0,entire home,1,39,1,1,1,1,0,1,0,2013,261,1,1,99,,1,0
2828,• Beautiful Townhome mins from ATL Braves & Roxy,113,69,42,51,5,2,2,2,1,1,4.84,219,4.8,4.9,5,5,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,40,1,1,0,1,1,1,0,2017,631,1,1,100,within an hour,1,1
2829,A Contemporary & Stylish Home !,117,45.5,39.67,20.5,4,2,2,1,1,0,4.83,549,4.9,4.9,4.9,4.9,5,4.8,no free cancel,0,Atlanta,0,entire home,1,24,1,0,0,1,1,1,0,2011,1406,1,1,100,within an hour,1,2
2830,What an Entrance!,160,100,59,81,2,1,2,1,1,1,4.73,33,4.6,4.8,4.9,4.9,4.7,4.7,48 hours after booking,1,Atlanta,0,entire home,1,45,1,1,0,1,0,1,1,2019,35,1,1,100,within an hour,1,0
2831,Luxe One Bedroom with private entrance and 75 “ TV,89,55,33,49,2,1,1,1,1,1,4.84,45,4.8,5,5,4.9,5,4.9,1 day before check in,5,Atlanta,0,entire home,1,23,1,1,0,0,1,1,0,2017,111,1,1,100,within an hour,1,0
2832,Walk to Everything Downtown Atlanta Apartment.,125,67.5,43,53.12,2,1,1,1,1,1,4.89,57,4.9,5,5,4.9,5,4.9,no free cancel,0,Atlanta,0,entire home,1,49,1,1,0,1,0,0,1,2017,211,1,1,100,within an hour,1,1
2833,Smooth Landing “Suite” Getaway ✈️,82,30,27,40,2,1,1,1,1,1,4.88,8,4.9,4.9,5,4.8,5,4.9,5 days before check in,4,Atlanta,0,entire home,1,40,1,1,0,0,1,0,0,2016,8,1,1,100,within an hour,1,0
2834,Best view of Atlanta,151,75,53,74,2,1,1,1,1,1,4.78,41,5,4.8,4.8,4.9,4.3,5,5 days before check in,4,Atlanta,0,entire home,1,35,0,0,0,1,0,0,0,2021,41,1,1,100,within a day,3,0
2835,The Ultimate Midtown Getaway,144,95,54,75,5,2,2,2,0,0,4.35,34,4.2,4.6,4.5,4.7,4.2,4.6,no free cancel,0,Atlanta,0,entire home,1,42,0,1,0,1,1,1,0,2017,34,1,0,80,within an hour,1,0
2836,Luxury+Large 1BED/1BATH. 10min to airport/5 to DT,95,72.25,48.33,42.38,4,1,2,1,1,0,4.83,6,5,5,4.8,5,5,5,no free cancel,0,Atlanta,0,entire home,1,32,0,0,1,1,0,1,0,2019,8,1,0,89,within an hour,1,0
2837,Cozy + Stylish Haven in the Heart of Atlanta!,101,75,39,57,4,1,1,1,1,1,4.81,16,4.9,4.9,5,5,4.9,4.9,1 day before check in,5,Atlanta,0,entire home,1,50,0,1,0,1,0,1,0,2013,37,1,1,100,within an hour,1,0
2838,Modern Boho + Comfy Stay | Heart of ATL,124,75,46,65,4,1,2,1,1,0,5,32,4.9,4.9,5,5,4.9,4.9,5 days before check in,4,Atlanta,0,entire home,1,60,0,1,1,1,1,1,0,2019,76,1,1,100,within an hour,1,0
2839,Comfy One Bedroom In The Heart Of Atlanta,88,75,35,52,4,1,1,1,1,0,4.67,6,5,4.8,5,5,4.7,4.8,30 days before check in,2,Atlanta,0,entire home,1,25,0,0,0,1,1,1,0,2019,6,1,0,100,within a few hours,2,0
2840,Stylish Luxe Studio In The Heart Of Dwntwn Atl,115,85,44,63,2,1,1,1,1,0,4.94,18,5,5,4.9,4.9,4.8,5,30 days before check in,2,Atlanta,0,entire home,1,53,1,0,0,1,0,1,0,2021,18,0,1,100,within an hour,1,0
2841,Belt Line Charmer Suite Old Fourth Ward,125,65,44,63,2,1,1,1,1,1,4.89,164,5,4.9,5,5,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,36,1,1,0,0,1,1,0,2014,170,1,1,100,within an hour,1,0
2842,Artist Guest Quarters in Grant Park - Quiet Luxury,98,70,38,55,3,1,2,1,1,1,4.9,203,4.9,5,5,4.9,5,4.9,48 hours after booking,1,Atlanta,0,entire home,1,59,1,1,0,1,0,1,0,2014,203,1,1,100,within an hour,1,0
2843,Stunning Midtown / Piedmont Park 2 bed Apartment,210,100,73,98,4,2,2,2,1,1,4.95,129,5,5,4.9,5,5,4.9,5 days before check in,4,Atlanta,0,entire home,1,33,1,1,1,1,0,1,0,2015,498,1,1,100,within an hour,1,1
2844,Best Loft In Downtown Atl (Clean w/ Cal King!),150,85,54,75,8,2,5,1,1,1,4.75,155,4.8,4.8,4.9,4.7,4.8,4.8,48 hours after booking,1,Atlanta,0,entire home,1,36,0,0,0,1,1,0,0,2017,327,1,0,100,within an hour,1,0
2845,The Palace,80,65,32,46,4,1,2,1,1,1,5,13,5,4.8,5,5,4.9,5,48 hours after booking,1,Atlanta,0,entire home,1,65,1,0,1,1,0,1,3,2021,14,1,0,100,within an hour,1,0
